Ra	Dec
89.03024869	3.872910686
88.9849247	4.053313399
88.94008736	4.231697492
88.89572451	4.40811044
88.85182443	4.58259816
88.8083758	4.755205081
88.76536767	4.925974205
88.72278946	5.094947168
88.68063096	5.262164292
88.63888226	5.427664643
88.59753379	5.59148608
88.55657629	5.753665302
88.51600079	5.914237898
88.4757986	6.073238384
88.43596129	6.230700251
88.39648072	6.386656003
88.35734895	6.541137192
88.31855833	6.694174456
88.28010141	6.845797555
88.24197096	6.996035401
88.20415998	7.14491609
88.16666165	7.292466935
88.12946937	7.438714488
88.09257671	7.583684575
88.05597743	7.727402316
88.01966546	7.869892152
87.98363491	8.011177872
87.94788003	8.15128263
87.91239524	8.29022897
87.87717512	8.42803885
87.84221438	8.564733656
87.80750787	8.700334225
87.77305059	8.834860863
87.73883765	8.968333362
87.7048643	9.100771017
87.67112591	9.232192644
87.63761796	9.362616593
87.60433605	9.492060765
87.5712759	9.620542626
87.53843331	9.748079219
87.5058042	9.874687181
87.47338458	10.00038275
87.44117058	10.12518179
87.40915839	10.24909979
87.37734431	10.37215186
87.34572472	10.4943528
87.31429609	10.61571704
87.28305497	10.7362587
87.25199797	10.85599156
87.22112182	10.97492913
87.19042327	11.09308457
87.15989919	11.21047079
87.12954649	11.32710041
87.09936216	11.44298575
87.06934325	11.55813891
87.03948688	11.67257168
87.00979023	11.78629564
86.98025054	11.8993221
86.9508651	12.01166215
86.92163126	12.12332663
86.89254645	12.23432618
86.86360811	12.34467121
86.83481376	12.4543719
86.80616097	12.56343826
86.77764735	12.67188007
86.74927056	12.77970692
86.72102831	12.88692823
86.69291834	12.9935532
86.66493847	13.09959088
86.63708652	13.20505013
86.60936037	13.30993965
86.58175795	13.41426795
86.55427722	13.5180434
86.52691617	13.62127422
86.49967284	13.72396844
86.4725453	13.82613397
86.44553165	13.92777856
86.41863005	14.02890984
86.39183866	14.12953526
86.36515568	14.22966217
86.33857937	14.32929777
86.31210798	14.42844915
86.28573983	14.52712324
86.25947323	14.62532688
86.23330654	14.72306677
86.20723816	14.82034951
86.18126649	14.91718156
86.15538997	15.01356931
86.12960708	15.109519
86.10391629	15.20503677
86.07831613	15.30012869
86.05280513	15.39480069
86.02738186	15.48905862
86.00204491	15.58290822
85.97679287	15.67635516
85.95162439	15.76940499
85.92653811	15.86206319
85.9015327	15.95433513
85.87660685	16.04622613
85.85175929	16.13774139
85.82698873	16.22888604
85.80229393	16.31966514
85.77767366	16.41008365
85.7531267	16.50014648
85.72865186	16.58985843
85.70424795	16.67922427
85.67991382	16.76824865
85.65564832	16.8569362
85.63145032	16.94529143
85.60731871	17.03331882
85.58325238	17.12102278
85.55925026	17.20840763
85.53531127	17.29547765
85.51143436	17.38223706
85.48761848	17.46869
85.46386261	17.55484057
85.44016574	17.6406928
85.41652686	17.72625067
85.39294499	17.8115181
85.36941914	17.89649896
85.34594836	17.98119706
85.32253169	18.06561617
85.29916818	18.14976
85.27585692	18.2336322
85.25259699	18.31723639
85.22938747	18.40057613
85.20622746	18.48365495
85.18311609	18.5664763
85.16005248	18.64904362
85.13703575	18.73136028
85.11406506	18.81342963
85.09113955	18.89525495
85.06825839	18.97683951
85.04542075	19.05818651
85.0226258	19.13929913
84.99987274	19.22018051
84.97716076	19.30083372
84.95448907	19.38126185
84.93185688	19.46146789
84.90926342	19.54145485
84.8867079	19.62122566
84.86418957	19.70078324
84.84170767	19.78013047
84.81926145	19.8592702
84.79685017	19.93820524
84.7744731	20.01693837
