Ra	Dec
37.15896349	22.81013094
36.94660051	22.85921096
36.73533455	22.90772293
36.52514936	22.95567533
36.31602894	23.00307648
36.10795763	23.04993451
35.90092005	23.09625738
35.69490109	23.14205288
35.48988593	23.18732863
35.28586002	23.2320921
35.08280905	23.27635059
34.880719	23.32011125
34.67957607	23.3633811
34.47936671	23.40616698
34.28007762	23.44847563
34.08169573	23.49031361
33.88420818	23.53168737
33.68760234	23.57260323
33.49186581	23.61306738
33.29698637	23.65308587
33.10295204	23.69266465
32.90975101	23.73180955
32.71737169	23.77052625
32.52580266	23.80882037
32.3350327	23.84669737
32.14505078	23.88416264
31.95584603	23.92122145
31.76740777	23.95787895
31.57972549	23.99414023
31.39278883	24.03001024
31.20658761	24.06549386
31.0211118	24.10059586
30.83635154	24.13532095
30.65229711	24.1696737
30.46893893	24.20365864
30.28626758	24.2372802
30.10427379	24.27054271
29.92294842	24.30345043
29.74228245	24.33600754
29.56226702	24.36821816
29.38289339	24.4000863
29.20415294	24.43161593
29.02603719	24.46281091
28.84853777	24.49367505
28.67164644	24.5242121
28.49535507	24.55442573
28.31965565	24.58431953
28.14454027	24.61389704
27.97000114	24.64316174
27.79603059	24.67211704
27.62262103	24.70076629
27.44976499	24.72911278
27.2774551	24.75715973
27.10568408	24.78491031
26.93444476	24.81236765
26.76373005	24.83953481
26.59353297	24.86641478
26.42384663	24.89301053
26.2546642	24.91932495
26.08597898	24.94536089
25.91778433	24.97112115
25.7500737	24.99660849
25.58284062	25.0218256
25.4160787	25.04677513
25.24978164	25.0714597
25.08394321	25.09588187
24.91855726	25.12004416
24.7536177	25.14394904
24.58911853	25.16759895
24.42505382	25.19099626
24.26141769	25.21414334
24.09820436	25.23704249
23.93540811	25.25969598
23.77302325	25.28210604
23.61104421	25.30427485
23.44946545	25.32620457
23.28828149	25.34789732
23.12748693	25.36935517
22.96707642	25.39058017
22.80704467	25.41157433
22.64738644	25.43233963
22.48809656	25.452878
22.32916991	25.47319134
22.17060143	25.49328155
22.01238609	25.51315045
21.85451895	25.53279987
21.69699508	25.55223157
21.53980963	25.57144731
21.3829578	25.59044881
21.22643482	25.60923776
21.07023598	25.62781581
20.9143566	25.64618461
20.75879208	25.66434576
20.60353783	25.68230083
20.44858932	25.70005137
20.29394206	25.71759891
20.1395916	25.73494494
19.98553354	25.75209094
19.83176352	25.76903834
19.6782772	25.78578857
19.5250703	25.80234302
19.37213857	25.81870307
19.21947781	25.83487006
19.06708383	25.85084531
18.91495251	25.86663013
18.76307973	25.88222579
18.61146144	25.89763355
18.46009359	25.91285463
18.30897219	25.92789025
18.15809327	25.9427416
18.0074529	25.95740984
17.85704716	25.97189613
17.70687219	25.98620158
17.55692415	26.00032729
17.40719921	26.01427437
17.2576936	26.02804387
17.10840356	26.04163683
16.95932536	26.05505428
16.81045529	26.06829723
16.66178969	26.08136667
16.5133249	26.09426356
16.3650573	26.10698885
16.2169833	26.11954349
16.06909931	26.13192838
15.92140179	26.14414441
15.7738872	26.15619248
15.62655206	26.16807343
15.47939287	26.17978813
15.33240617	26.19133738
15.18558854	26.20272201
15.03893654	26.21394281
14.89244678	26.22500055
14.74611589	26.23589601
14.59994051	26.24662992
14.45391729	26.25720301
14.30804293	26.26761601
14.16231411	26.2778696
14.01672756	26.28796448
13.87128001	26.29790131
13.7259682	26.30768075
13.5807889	26.31730343
13.4357389	26.32676997
13.29081499	26.336081
13.14601399	26.34523709
13.00133273	26.35423884
12.85676804	26.3630868
12.71231679	26.37178154
12.56797584	26.38032359
12.42374207	26.38871346
12.27961239	26.39695169
12.13558369	26.40503875
11.99165291	26.41297514
11.84781697	26.42076132
11.70407281	26.42839775
11.56041739	26.43588487
11.41684767	26.44322312
11.27336064	26.45041291
11.12995326	26.45745465
10.98662254	26.46434873
10.84336548	26.47109552
10.70017909	26.47769539
10.55706039	26.4841487
10.41400642	26.49045579
10.27101419	26.49661697
10.12808076	26.50263258
9.985203187	26.50850292
9.842378514	26.51422827
9.69960381	26.51980891
9.556876143	26.52524511
9.414192589	26.53053713
9.271550227	26.5356852
9.128946144	26.54068956
8.986377427	26.54555043
8.843841173	26.55026802
8.701334478	26.55484251
8.558854446	26.55927409
8.41639818	26.56356293
8.27396279	26.56770919
8.131545387	26.57171302
7.989143083	26.57557456
7.846752994	26.57929392
7.704372238	26.58287122
7.561997932	26.58630655
7.419627198	26.58960002
7.277257154	26.59275169
7.134884923	26.59576164
6.992507625	26.59862991
6.850122381	26.60135654
6.707726312	26.60394157
6.565316537	26.60638502
6.422890175	26.60868689
6.280444342	26.61084718
6.137976155	26.61286588
5.995482726	26.61474295
5.852961166	26.61647835
5.710408582	26.61807204
5.567822081	26.61952396
5.425198763	26.62083402
5.282535726	26.62200214
5.139830065	26.62302822
4.997078868	26.62391216
4.854279221	26.62465383
4.711428202	26.6252531
4.568522888	26.62570983
4.425560345	26.62602385
4.282537638	26.626195
4.139451822	26.62622309
3.996299947	26.62610794
3.853079056	26.62584933
3.709786184	26.62544706
3.566418359	26.62490088
3.4229726	26.62421056
3.279445918	26.62337585
3.135835317	26.62239647
2.992137789	26.62127216
2.848350318	26.62000261
2.704469879	26.61858752
2.560493435	26.61702658
2.41641794	26.61531945
2.272240336	26.61346579
2.127957555	26.61146526
1.983566517	26.60931747
1.839064129	26.60702206
1.694447287	26.60457861
1.549712873	26.60198674
1.404857757	26.599246
1.259878795	26.59635598
1.114772829	26.59331622
0.9695366868	26.59012626
0.8241671815	26.58678562
