Keuwl Accelerometer Data File
2023-07-29 16:03:40

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
53.2191010,0.410967,-1.267598,10.761720,10.843906,7.058636,287.963196
53.2381134,0.443270,-1.337588,10.648659,10.741488,7.538066,288.334961
53.2571297,0.471984,-1.456631,10.505090,10.616094,8.292850,287.953613
53.2761421,0.348754,-1.243670,10.594820,10.673264,6.950793,285.664734
53.2951546,0.324826,-1.311865,10.537393,10.623707,7.308604,283.907074
53.3141708,0.354138,-1.325624,10.515858,10.604997,7.433976,284.957153
53.3331833,0.442672,-1.308276,10.583454,10.673193,7.435085,288.693909
53.3521957,0.372084,-1.364507,10.687542,10.780718,7.538405,285.252991
53.3712120,0.429512,-1.387837,10.717453,10.815469,7.719530,287.196381
53.3902245,0.488136,-1.338186,10.693524,10.787978,7.587420,290.040680
53.4092369,0.537189,-1.320838,10.648061,10.743109,7.627199,292.131714
53.4282494,0.858425,-1.289133,10.162916,10.280254,8.665013,303.659393
53.4472656,0.025125,-1.338784,10.764710,10.847671,7.090580,271.075134
53.4662781,0.564706,-1.317249,10.353146,10.451874,7.881398,293.204865
53.4852905,0.069990,-1.413560,10.673783,10.767205,7.553099,272.834595
53.5043068,0.241675,-1.368096,10.853246,10.941802,7.294524,280.017975
53.5233192,0.235693,-1.411167,10.703095,10.798296,7.613756,279.482025
53.5423317,0.296710,-1.460220,10.722836,10.825871,7.911228,281.485870
53.5613480,0.302692,-1.494318,10.737193,10.844903,8.081893,281.451019
53.5803604,0.321835,-1.521237,10.685149,10.797692,8.279604,281.945435
53.5993729,0.454636,-1.438086,10.697114,10.802917,8.025511,287.543823
53.6183891,0.680758,-1.526621,10.470992,10.603569,9.069822,294.033264
53.6374016,0.092124,-1.401596,10.914861,11.004869,7.333046,273.760498
53.6564140,0.306879,-1.503889,10.704890,10.814367,8.159546,281.533295
53.6754265,0.339183,-1.499103,10.547563,10.658960,8.290813,282.748901
53.6944427,-0.049053,-1.498505,10.804790,10.908319,7.900130,268.125122
53.7134552,0.103490,-1.581058,10.550553,10.668862,8.540632,273.744995
53.7324638,0.189631,-1.546960,10.567303,10.681617,8.389909,276.988617
53.7514801,0.373280,-1.474577,10.600802,10.709375,8.165511,284.205658
53.7704926,0.386441,-1.455434,10.585249,10.691825,8.096600,284.869843
53.7895050,0.454636,-1.475773,10.707881,10.818656,8.206214,287.122314
53.8085213,0.513260,-1.476372,10.661222,10.775191,8.340731,289.170013
53.8275337,0.605982,-1.431506,10.666605,10.779281,8.291572,292.943817
53.8465462,0.594018,-1.411765,10.619946,10.729827,8.206812,292.819550
53.8655624,0.619741,-1.387239,10.535000,10.644000,8.206740,294.072418
53.8845749,0.617946,-1.127020,10.591231,10.668937,6.919370,298.736023
53.9035873,0.998405,-1.250250,10.428519,10.550543,8.722514,308.609619
53.9225998,0.773480,-1.298705,10.652846,10.759556,8.076109,300.777100
53.9416161,0.711267,-1.512264,10.447661,10.580476,9.087893,295.189117
53.9606285,0.603590,-1.697109,10.523634,10.676674,9.712741,289.578308
53.9796410,0.267398,-1.588834,10.814362,10.933723,8.473869,279.553253
53.9986572,0.355932,-1.607977,10.648659,10.775259,8.791580,282.481415
54.0176697,0.255434,-1.599602,10.669596,10.791860,8.632765,279.072723
54.0366821,0.297308,-1.534397,10.632507,10.746766,8.362363,280.965881
54.0556984,0.330210,-1.536790,10.507483,10.624404,8.508078,282.126740
54.0747108,0.283549,-1.561317,10.576875,10.695251,8.532465,280.293243
54.0937233,0.259621,-1.599602,10.539785,10.663639,8.740983,279.218933
54.1127396,0.501895,-1.464407,10.594222,10.706723,8.313211,288.918060
